SEASON_ID,Player_ID,Game_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
201415,203112.0,0021400367,L,20.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,6.0,-14.0
201415,203112.0,0021400353,L,31.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,2.0,11.0
201415,203112.0,0021400331,W,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,16.0
201415,203112.0,0021400322,L,25.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,8.0,4.0
201415,203112.0,0021400311,L,18.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,-2.0
201415,203112.0,0021400299,L,19.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0
201415,203112.0,0021400276,L,12.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,-6.0
201415,203112.0,0021400273,L,31.0,6.0,8.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,2.0,4.0,6.0,3.0,0.0,1.0,3.0,1.0,15.0,-15.0
201415,203112.0,0021400256,L,10.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0,-9.0
201415,203112.0,0021400245,L,24.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,-1.0
201415,203112.0,0021400229,L,23.0,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,1.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,-17.0
201415,203112.0,0021400214,L,36.0,3.0,8.0,0.375,0.0,0.0,0.0,2.0,4.0,0.5,0.0,6.0,6.0,1.0,0.0,0.0,1.0,3.0,8.0,-1.0
201415,203112.0,0021400202,L,25.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,4.0,4.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,-6.0
201415,203112.0,0021400187,W,24.0,3.0,6.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,4.0,10.0,14.0
201415,203112.0,0021400167,L,32.0,4.0,8.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,3.0,2.0,9.0,-4.0
201415,203112.0,0021400142,W,31.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,3.0,3.0,0.0,0.0,3.0,8.0,-3.0
201415,203112.0,0021400126,L,20.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,-5.0
201415,203112.0,0021400113,L,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,4.0,2.0,-8.0
201415,203112.0,0021400084,L,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,-10.0
201415,203112.0,0021400075,L,22.0,3.0,7.0,0.429,0.0,0.0,0.0,1.0,2.0,0.5,6.0,3.0,9.0,0.0,0.0,0.0,3.0,3.0,7.0,-15.0
201415,203112.0,0021400061,L,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,-6.0
201415,203112.0,0021400041,W,20.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,11.0
201415,203112.0,0021400018,W,22.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,2.0,0.0,1.0,2.0,6.0,8.0,2.0
201415,203112.0,0021400010,L,21.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,4.0,6.0,-15.0
201415,203919.0,0021401220,W,23.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,6.0,15.0
201415,203919.0,0021401212,L,21.0,6.0,15.0,0.4,2.0,5.0,0.4,5.0,7.0,0.714,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,19.0,13.0
201415,203919.0,0021401190,L,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
